,Name,Price,Format,Rating,URL
115,The Book Of Affirmations Self Love,$19.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Book-Affirmations-Self-Love/dp/1733718702/ref=sr_1_125?dchild=1&keywords=self+love&qid=1633860687&sr=8-125
116,A Year of Self-Love Page-A-Day Calendar 2022: Daily Affirmations and Actions for Self-Compassion and Self Worth.,$14.16,Calendar ,0,https://www.amazon.com//Year-Self-Love-Page-Day-Calendar/dp/1523513349/ref=sr_1_126?dchild=1&keywords=self+love&qid=1633860687&sr=8-126
117,"Self-Love Games & Activities: 125 Word Searches, Mazes, & Games to Boost Your Happiness, Resilience, & Well-Being (Puzzle Therapy)",$12.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Self-Love-Games-Activities-Resilience-Well-Being/dp/1507216246/ref=sr_1_127?dchild=1&keywords=self+love&qid=1633860687&sr=8-127
118,"There’s More To Me: A story of experiencing radical self-love and forgiveness through a journey of owning one’s past, shame, and limiting beliefs.",$0.99,Kindle ,5.0 out of 5 stars,https://www.amazon.com//Theres-More-experiencing-self-love-forgiveness-ebook/dp/B09HP83R6N/ref=sr_1_128?dchild=1&keywords=self+love&qid=1633860687&sr=8-128
119,Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series),$17.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Master-Your-Emotions-Practical-Negativity/dp/1981089152/ref=sr_1_129?dchild=1&keywords=self+love&qid=1633860687&sr=8-129
120,"Self Love and Spiritual Alchemy: Transform Your Mindset, Strengthen Your Self-Worth and Manifest the Life You Desire.",$0.00,Audible Audiobook ,4.6 out of 5 stars,https://www.amazon.com//Self-Love-Spiritual-Alchemy-Strengthen/dp/B092CJ1G32/ref=sr_1_130?dchild=1&keywords=self+love&qid=1633860687&sr=8-130
121,Step by Step guide to Self-Compassion: How To Develop Self-Compassion Based On The Two Wolves Tale (The White Wolf's Way Book 1),$0.00,Kindle ,4.2 out of 5 stars,https://www.amazon.com//Step-guide-Self-Compassion-Develop-Wolves-ebook/dp/B084VV2PQN/ref=sr_1_131?dchild=1&keywords=self+love&qid=1633860687&sr=8-131
122,"A Juicy Self-Love Workbook: Unleash Your Divine Femininity: Find happiness, release self-doubt and step in to your power. Questionnaires, experiential ... meditations. Self-love workbook for women.",$24.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Juicy-Self-Love-Workbook-Questionnaires-experiential/dp/B094VR4NXD/ref=sr_1_132?dchild=1&keywords=self+love&qid=1633860687&sr=8-132
123,Yoke: My Yoga of Self-Acceptance,$13.95,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Yoke-Yoga-Self-Acceptance-Jessamyn-Stanley/dp/1523505214/ref=sr_1_133?dchild=1&keywords=self+love&qid=1633860687&sr=8-133
124,Everything a Band-Aid Can't Fix: A Teen's Guide to Healing and Dealing with Life,$18.95,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Everything-Band-Aid-Cant-Fix-Healing/dp/1634894553/ref=sr_1_134?dchild=1&keywords=self+love&qid=1633860687&sr=8-134
